note_indicator, note_indicator.label, note_indicator.sort
"T30:160","Currency: AND - Euro (EUR)",422
"T30:161","Currency: AUT - Euro (EUR)",423
"T30:162","Currency: BLR - Belarusian ruble (BYR)",424
"T30:163","Currency: BEL - Euro (EUR)",425
"T30:164","Currency: BIH - Marka (BAM)",426
"T30:165","Currency: BGR - Lev (BGN)",427
"T30:167","Currency: HRV - Kuna (HRK)",428
"T30:168","Currency: CYP - Euro (EUR)",429
"T30:169","Currency: CZE - Koruna (CZK)",430
"T30:170","Currency: DNK - Danish krone (DKK)",431
"T30:171","Currency: ESP - Euro (EUR)",432
"T30:172","Currency: EST - Euro (EUR)",433
"T30:174","Currency: FIN - Euro (EUR)",434
"T30:175","Currency: FRA - Euro (EUR)",435
"T30:176","Currency: DEU - Euro (EUR)",436
"T30:177","Currency: GIB - Gibraltar pound (GIP)",437
"T30:178","Currency: GRC - Euro (EUR)",438
"T30:179","Currency: GGY - Guernsey pound (GGP)",439
"T30:180","Currency: HUN - Forint (HUF)",440
"T30:181","Currency: ISL - Icelandic króna (ISK)",441
"T30:182","Currency: IRL - Euro (EUR)",442
"T30:183","Currency: IMN - Manx pound (IMP)",443
"T30:184","Currency: ITA - Euro (EUR)",444
"T30:185","Currency: JEY - Jersey pound (JEP)",445
"T30:186","Currency: KOS - Euro (EUR)",446
"T30:187","Currency: LVA - Lats (LVL)",447
"T30:188","Currency: LIE - Swiss franc (CHF)",448
"T30:189","Currency: LTU - Litas (LTL)",449
"T30:190","Currency: LUX - Euro (EUR)",450
"T30:191","Currency: MKD - Denar (MKD)",451
"T30:192","Currency: MLT - Euro (EUR)",452
"T30:193","Currency: MDA - Moldovan leu (MDL)",453
"T30:195","Currency: MNE - Euro (EUR)",454
"T30:196","Currency: NLD - Euro (EUR)",455
"T30:197","Currency: NOR - Norwegian krone (NOK)",456
"T30:198","Currency: POL - Zloty (PLN)",457
"T30:199","Currency: PRT - Euro (EUR)",458
"T30:200","Currency: ROU - Romanian leu (RON)",459
"T30:201","Currency: RUS - Russian ruble (RUB)",460
"T30:202","Currency: SMR - Euro (EUR)",461
"T30:203","Currency: SRB - Serbian dinar (RSD)",462
"T30:204","Currency: SVK - Euro (EUR)",463
"T30:205","Currency: SVN - Euro (EUR)",464
"T30:206","Currency: CHE - Swiss franc (CHF)",465
"T30:207","Currency: SWE - Swedish krona (SEK)",466
"T30:208","Currency: TUR - Turkish lira (TRY)",467
"T30:209","Currency: UKR - Hryvnia (UAH)",468
"T30:210","Currency: GBR - British pound (GBP)",469
"T30:212","Currency: AUS - Australian dollar (AUD)",470
"T30:213","Currency: COK - New Zealand dollar (NZD)",471
"T30:214","Currency: FJI - Fijian dollar (FJD)",472
"T30:215","Currency: GUM - United States dollar (USD)",473
"T30:218","Currency: MHL - United States dollar (USD)",474
"T30:220","Currency: NZL - New Zealand dollar (NZD)",475
"T30:224","Currency: NCL - CFP franc (XPF)",476
"T30:225","Currency: PLW - United States dollar (USD)",477
"T30:226","Currency: PNG - Kina (PGK)",478
"T30:227","Currency: PYF - CFP franc (XPF)",479
"T30:228","Currency: WSM - Tala (WST)",480
"T30:229","Currency: SLB - Solomon Islands dollar (SBD)",481
"T30:231","Currency: TON - Pa'anga (TOP)",482
"T30:233","Currency: VUT - Vatu (VUV)",483
"T30:248","Currency: AGO - Kwanza (AOK)",484
"T30:251","Currency: ALB - Old lek (ALK)",485
"T30:255","Currency: ANT - Netherlands Antillean guilder (ANG)",486
"T30:256","Currency: ARG - Austral (ARA)",487
"T30:258","Currency: AUT - Schilling (ATS)",488
"T30:260","Currency: AZE - Azerbaijani manat (AZM)",489
"T30:261","Currency: AZE - Russian ruble (RUR)",490
"T30:263","Currency: BEL - Belgian franc (BEF)",491
"T30:264","Currency: BEL - Financial franc (BEL)",492
"T30:265","Currency: BGR - Lev (BGL)",493
"T30:267","Currency: BLR - Belarusian ruble (BYB)",494
"T30:268","Currency: BLR - Russian ruble (RUR)",495
"T30:270","Currency: BRA - Cruzeiro (BRB)",496
"T30:271","Currency: BRA - Cruzado (BRC)",497
"T30:272","Currency: BRA - Cruzeiro (BRE)",498
"T30:273","Currency: BRA - New cruzado (BRN)",499
"T30:274","Currency: BRA - Cruzeiro real (BRR)",500
"T30:279","Currency: CYP - Cypriot pound (CYP)",501
"T30:280","Currency: DEU - Deutsche Mark (DEM)",502
"T30:281","Currency: ECU - Sucre (ECS)",503
"T30:282","Currency: ECU - Unidad de Valor Constante (UVC) (ECV)",504
"T30:284","Currency: ESP - Spanish peseta (ESP)",505
"T30:285","Currency: EST - Estonian kroon (EEK)",506
"T30:286","Currency: FIN - Finnish markka (FIM)",507
"T30:287","Currency: FRA - French franc (FRF)",508
"T30:291","Currency: GHA - Cedi (GHP)",509
"T30:300","Currency: HRV - Croatian dinar (HRD)",510
"T30:301","Currency: IRL - Irish pound (IEP)",511
"T30:302","Currency: ITA - Italian lira (ITL)",512
"T30:304","Currency: KAZ - Russian ruble (RUR)",513
"T30:308","Currency: LTU - Talonas (LTT)",514
"T30:310","Currency: LUX - Luxembourgish franc (LUF)",515
"T30:314","Currency: MDA - Russian ruble (RUR)",516
"T30:317","Currency: MEX - Mexican peso (MXP)",517
"T30:320","Currency: MLT - Maltese lira (MTL)",518
"T30:325","Currency: NIC - Cordoba (NIC)",519
"T30:326","Currency: NLD - Dutch guilder (NLG)",520
"T30:327","Currency: PER - Inti (PEI)",521
"T30:329","Currency: POL - Zloty (PLZ)",522
"T30:330","Currency: PRT - Portuguese escudo (PTE)",523
"T30:332","Currency: ROU - Old leu (ROL)",524
"T30:333","Currency: RUS - Russian ruble (RUR)",525
"T30:336","Currency: SDN - Sudanese dinar (SDD)",526
"T30:337","Currency: SDN - Sudanese pound (SDP)",527
"T30:338","Currency: SMR - Italian lira (ITL)",528
"T30:340","Currency: SUR - Surinam guilder (SRG)",529
"T30:341","Currency: SVK - Slovak koruna (SKK)",530
"T30:342","Currency: SVN - Tolar (SIT)",531
"T30:344","Currency: TJK - Russian ruble (RUR)",532
"T30:345","Currency: TJK - Tajikistani ruble (TJR)",533
"T30:347","Currency: TKM - Turkmenistan manat (TMM)",534
"T30:350","Currency: TUR - Old Turkish lira (TRL)",535
"T30:355","Currency: URY - New Uruguayan Peso (UYN)",536
"T30:357","Currency: UZB - Russian ruble (RUR)",537
"T30:358","Currency: VEN - Bolivar (VEB)",538
"T30:363","Currency: ZAF - Financial rand (ZAL)",539
"T30:364","Currency: ZWE - Rhodesian dollar (ZWC)",540
"T30:367","Currency: ZWE - Zimbabwean dollar (new) (ZWN)",541
"T30:370","Currency: LTU - Rouble (C10)",542
"T30:371","Currency: UKR - Rouble (C10)",543
"T30:374","Currency: LVA - Euro (EUR)",544
"T30:375","Currency: KHM - United States dollar (USD)",545
"T30:376","Currency: CUW - Netherlands Antillean Guilder (ANG)",546
"T30:377","Currency: LTU - Euro (EUR)",547
"T30:379","Currency: ZMB - Zambian kwacha (ZMW)",548
"T30:380","Currency: BLR - Belarusian ruble (BYN)",549
"T30:382","Currency: VEN - Bolívar soberano (VES)",550
"T30:383","Currency: SLV - Colón (SVC)",551
