note_classif, note_classif.label, note_classif.sort
"C8:4105","Nonstandard hours band: Excluding 46-48 hours",488
"C8:4106","Nonstandard hours band: Including 46-48 hours",489
"C8:4114","Nonstandard hours band: Including 10-14 hours",490
"C8:4115","Nonstandard hours band: Excluding 45-48 hours",491
"C8:4116","Nonstandard hours band: Including 45-48 hours",492
"C9:2949","Adjustments: Estimation based on labour force survey and registered unemployment figures",493
"C10:2972","Type of primary source: Other official sources",494
"C13:3923","Nonstandard sector: Includes regional government",495
"I33:5716","ILO calculation: Based on published data",496
"I33:5717","ILO calculation: Based on published microdata",497
